t_days,B,F,A
1.130000000000000000e+02,3.930619001443073079e-01,3.621301654006948978e-02,1.404884739879008228e-03
1.140000000000000000e+02,3.726148926425701946e-01,3.814018150618664338e-02,2.284322054026080139e-03
1.150000000000000000e+02,3.545205418312286638e-01,3.506901008519321128e-02,3.282540612447999457e-03
1.160000000000000000e+02,3.445837066153823458e-01,3.631579628772742263e-02,2.831592828918006680e-03
1.170000000000000000e+02,3.358166096313418558e-01,3.645652595874820240e-02,3.952735802357118002e-03
1.180000000000000000e+02,3.186954960365315226e-01,3.624307128533461181e-02,2.118681987931139536e-03
1.190000000000000000e+02,3.089118324385338177e-01,3.535505387866721971e-02,1.121827494684230798e-03
1.200000000000000000e+02,2.932671675321057436e-01,3.467551532973583983e-02,5.990343078481184412e-04
1.210000000000000000e+02,2.814596871519397525e-01,3.682415402183275566e-02,4.324591645980676257e-05
1.220000000000000000e+02,2.725851399307521739e-01,3.458153787624867331e-02,0.000000000000000000e+00
1.230000000000000000e+02,2.625712715913064432e-01,3.570346571551429732e-02,1.366108398135634262e-04
1.240000000000000000e+02,2.487485826920760590e-01,4.005243265681542736e-02,6.592465142264274406e-05
1.250000000000000000e+02,2.485993985376818427e-01,3.671032946569503796e-02,6.193414965232757604e-04
1.260000000000000000e+02,2.455216703893273178e-01,3.815568891534151102e-02,0.000000000000000000e+00
1.270000000000000000e+02,2.403740288789640578e-01,3.530345240755239367e-02,7.041372539301056998e-05
1.280000000000000000e+02,2.409770691945339050e-01,4.057559868503220202e-02,3.940857625161129870e-04
1.290000000000000000e+02,2.334311000280253623e-01,4.128939492620516127e-02,5.182096869338161430e-05
1.300000000000000000e+02,2.337300263121704635e-01,4.402268169490375360e-02,6.941246410113548464e-05
1.310000000000000000e+02,2.291240694385065502e-01,4.183921019754541226e-02,4.233466048660721143e-05
1.320000000000000000e+02,2.291551782288459016e-01,3.820127105120368211e-02,5.267300353870878931e-04
1.330000000000000000e+02,2.209428880660166683e-01,3.979090561790245284e-02,4.961437753502135001e-04
1.340000000000000000e+02,2.194744523077848952e-01,3.915835059835386101e-02,3.466751533766902109e-04
1.350000000000000000e+02,2.740986159720666393e-01,2.688171632686327528e-01,2.408999275850656546e-04
1.360000000000000000e+02,3.165423400598512682e-01,4.475732678285380683e-01,3.346842705341172668e-04
1.370000000000000000e+02,3.614025946941214484e-01,5.737457957193656810e-01,0.000000000000000000e+00
1.380000000000000000e+02,3.930020670014507389e-01,5.949630359495884369e-01,1.177860616565142449e-04
1.390000000000000000e+02,4.320581662021685809e-01,6.732347296706816531e-01,1.667415139491696622e-04
1.400000000000000000e+02,4.537625585391038552e-01,6.962567540648569864e-01,1.815969049948422908e-04
1.410000000000000000e+02,4.878963568705476095e-01,7.057003741444818345e-01,4.316286699139992009e-04
1.420000000000000000e+02,5.292427490998815598e-01,6.843279125430010712e-01,1.633941724255360086e-04
1.430000000000000000e+02,5.479849166836545660e-01,6.370060910891064410e-01,0.000000000000000000e+00
1.440000000000000000e+02,5.742940763438330043e-01,6.662128953963508682e-01,1.001036714171666699e-04
1.450000000000000000e+02,6.016267791784641883e-01,6.801702091776296033e-01,7.956398827824966559e-05
1.460000000000000000e+02,6.311974962158782843e-01,6.847576904441463608e-01,4.969040938968422174e-05
1.470000000000000000e+02,6.635722162153954162e-01,6.159406284977970714e-01,1.607245031101585701e-04
1.480000000000000000e+02,6.769118256767638897e-01,6.334066827193485238e-01,0.000000000000000000e+00
1.490000000000000000e+02,6.835943970733452391e-01,6.194033605009962029e-01,6.015394976717820553e-05
1.500000000000000000e+02,6.778117675906824013e-01,4.566836379129869394e-01,2.662702747578563154e-04
