t_days,B,F,A
1.300000000000000000e+02,2.352378850186222503e-01,3.693408413842674820e-02,5.781981336055819567e-05
1.310000000000000000e+02,2.376500114825089160e-01,3.691596243756448126e-02,0.000000000000000000e+00
1.320000000000000000e+02,2.294454463372951336e-01,3.785415965035429653e-02,0.000000000000000000e+00
1.330000000000000000e+02,2.249133076519915508e-01,4.273305453087148514e-02,6.857493360075011569e-04
1.340000000000000000e+02,2.206764660446184911e-01,3.941045712370627035e-02,3.858918284294905807e-06
1.350000000000000000e+02,2.647093349640617377e-01,2.784597821860315681e-01,0.000000000000000000e+00
1.360000000000000000e+02,3.031381268697673215e-01,4.300967548804126017e-01,1.253508581786937616e-05
1.370000000000000000e+02,3.371402323449595451e-01,5.561133337997816728e-01,3.156378182722289604e-04
1.380000000000000000e+02,3.598442145029343009e-01,6.015103089122872948e-01,3.185364105549392757e-05
1.390000000000000000e+02,3.944959903904211584e-01,6.676474376877599148e-01,3.937188423329444030e-05
1.400000000000000000e+02,4.403933645301947308e-01,7.104275315728563189e-01,3.345399976459874857e-04
1.410000000000000000e+02,4.779716500803690704e-01,7.507483042066914747e-01,0.000000000000000000e+00
1.420000000000000000e+02,4.964976123997424939e-01,7.392738447060440699e-01,2.617400685746250818e-05
1.430000000000000000e+02,5.193284389208924212e-01,6.990063339713541435e-01,1.153350970962352222e-03
1.440000000000000000e+02,5.416698548688553272e-01,6.980838527572313934e-01,8.728794510683395968e-05
1.450000000000000000e+02,5.670576838297655131e-01,6.506527159106607616e-01,0.000000000000000000e+00
1.460000000000000000e+02,5.813195213314602539e-01,6.367818049601648989e-01,0.000000000000000000e+00
1.470000000000000000e+02,6.081720736358557922e-01,6.111593081895297930e-01,0.000000000000000000e+00
1.480000000000000000e+02,6.289978848186341676e-01,6.207153073112497976e-01,0.000000000000000000e+00
1.490000000000000000e+02,6.462531313443117265e-01,6.095814245025952260e-01,5.060911642466940755e-05
1.500000000000000000e+02,6.426607012547933540e-01,4.718973697068253870e-01,9.053456196829954281e-05
1.510000000000000000e+02,6.382751572597683554e-01,4.081769590261846159e-01,4.125418511951903884e-04
1.520000000000000000e+02,6.404031056756240847e-01,3.388900028178393753e-01,6.643514701075766554e-04
1.530000000000000000e+02,6.348538308644543493e-01,3.222747702162835903e-01,6.853606162401722646e-04
1.540000000000000000e+02,6.291052604949513016e-01,3.012597791754924037e-01,4.078841891914681151e-04
1.550000000000000000e+02,6.235664786701661244e-01,2.804121644262519975e-01,2.249378078575323397e-04
1.560000000000000000e+02,6.225877429990807066e-01,2.371644606440290737e-01,2.727165968672588467e-04
1.570000000000000000e+02,6.167211424129120934e-01,2.430568188215339320e-01,7.157014921855435156e-06
1.580000000000000000e+02,6.318091425377687642e-01,2.470319724418043039e-01,4.894011979571350444e-04
1.590000000000000000e+02,6.253643904338156423e-01,2.402402274331079668e-01,4.165706030517519315e-04
1.600000000000000000e+02,6.307328463198771384e-01,2.385665414187736200e-01,0.000000000000000000e+00
1.610000000000000000e+02,6.231733728861004185e-01,2.196313049367250025e-01,0.000000000000000000e+00
1.620000000000000000e+02,6.201158234093683275e-01,2.169846887537647540e-01,2.189362754184051292e-04
1.630000000000000000e+02,6.233891544492746739e-01,1.989841485240370911e-01,6.152479105101371756e-05
1.640000000000000000e+02,6.166640910706764345e-01,2.042186798042402718e-01,1.611494260256432281e-04
1.650000000000000000e+02,6.200046793610538565e-01,1.980533189555347962e-01,0.000000000000000000e+00
1.660000000000000000e+02,6.240512352622215042e-01,2.083356787688430967e-01,1.910275994450414284e-05
1.670000000000000000e+02,6.342169334442798734e-01,2.262153396406260120e-01,4.869108931362708991e-05
1.680000000000000000e+02,6.399846207494949146e-01,1.996429246398409296e-01,7.715725346597780037e-05
1.690000000000000000e+02,6.488534286802056794e-01,2.080650535811434387e-01,2.817432350631073686e-04
1.700000000000000000e+02,6.504026725213385429e-01,2.224899484305710717e-01,5.094362351636882655e-04
